server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
h	i	f	f	f	f	f	f	f	s	p
object/tangible/planet_map_location/city.iff	0	13250.2	75	3765.85	1	0	0	0	planet_map.map_loc	buildoutObjectId|0|0|$|
object/building/faction_perk/hq/planet_base_register.iff	0	0.0	0.0	0.0	1	0	0	0		buildoutObjectId|0|0|$|
object/building/taanab/ply_corl_house_m_s01_fp1.iff	0	2612.92	121.354	12781.8	0	0	1	0		buildoutObjectId|0|0|portalProperty.crc|0|1374805460|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	2	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	3	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	4	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/building/general/rori_bat_cave.iff	0	2514.26	54.9592	12743.1	-0.707107	0	0.707107	0		buildoutObjectId|0|0|portalProperty.crc|0|2132267142|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	2	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	3	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	4	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	5	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	6	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	7	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	8	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	9	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	10	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	11	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/building/taanab/ply_corl_house_s_s01_fp2.iff	0	11803	34.7581	4512.43	0.965093	0	-0.261909	0		buildoutObjectId|0|0|portalProperty.crc|0|-1387612462|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	2	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	3	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	4	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/building/general/cave_06_flatland_s01.iff	0	13538.1	80.4277	4424.21	0	0	1	0		buildoutObjectId|0|0|portalProperty.crc|0|100702777|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	2	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	3	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	4	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	5	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	6	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	7	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	8	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	9	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	10	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	11	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/building/general/space_dungeon_corellian_corvette_base.iff	0	12164.3	900.427	4286	0.435682	0	0.9001	0		buildoutObjectId|0|0|isControllerObject|0|1|portalProperty.crc|0|1993179413|space_dungeon.buildout_area|4|taanab|space_dungeon.buildout_row|0|0|space_dungeon.is_active|0|1|space_dungeon.name|4|corvette_neutral|spawn_table|4|datatables/spawning/dungeon/corvette_neutral.iff|$|
object/cell/cell.iff	1	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	2	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/tangible/door/echo_base_door_small.iff	2	-38.6488	0.162683	0.00364252	0.707108	0	-0.707106	0	theme_park.stp.stp_sign:theme_park.stp.door_corvette	buildoutObjectId|0|0|stp.sign.name|4|Docking Hatch|$|
object/cell/cell.iff	3	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	4	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	5	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	6	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	7	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	8	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	9	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	10	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	11	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	12	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	13	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	14	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	15	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	16	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	17	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	18	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/tangible/terminal/terminal_elevator_up.iff	18	4.995	-8e-06	-13.3599	0.000796577	0	1	0	systems.elevator.elevator_up	buildoutObjectId|0|0|$|
object/tangible/terminal/terminal_elevator_down.iff	18	4.9957	12	-13.3692	0	0	1	0	systems.elevator.elevator_down	buildoutObjectId|0|0|$|
object/cell/cell.iff	19	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/tangible/terminal/terminal_elevator_up.iff	19	-0.00611539	-12	37.6403	0	0	1	0	systems.elevator.elevator_up	buildoutObjectId|0|0|$|
object/tangible/terminal/terminal_elevator_down.iff	19	-0.0187669	-1e-05	37.654	0	0	1	0	systems.elevator.elevator_down	buildoutObjectId|0|0|$|
object/cell/cell.iff	20	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	21	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	22	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	23	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/cell/cell.iff	24	0	0	0	1	0	0	0		buildoutObjectId|0|0|$|
object/static/particle/particle_lg_explosion.iff	24	6.95162	0.16998	-56.6482	1	0	0	0		buildoutObjectId|0|0|$|
object/static/particle/pt_detector.iff	24	7.86018	-2.05294	-57.0181	1	0	0	0		buildoutObjectId|0|0|$|
object/static/item/eqp_camping_crate_s1.iff	24	13.4593	-6.7	-55.7877	0.971338	0	-0.237703	0		buildoutObjectId|0|0|$|
object/static/item/eqp_camping_crate_s1.iff	24	13.5368	-6.28552	-55.7848	0.939373	0	-0.342898	0		buildoutObjectId|0|0|$|
object/static/item/eqp_camping_crate_s1.iff	24	13.1448	-6.7	-55.4538	0.971338	0	-0.237703	0		buildoutObjectId|0|0|$|
object/static/item/item_ammo_rocket.iff	24	13.1998	-6.26327	-55.263	0.857709	0	0.514136	0		buildoutObjectId|0|0|$|
