Planet	corellia	dantooine	dathomir	endor	lok	naboo	rori	talus	tatooine	yavin4	mustafar	kashyyyk_main	taanab
s	I	I	I	I	I	I	I	I	I	I	I	I	I
corellia	100	1000	2000	4000	100	500	100	300	600	3000	1000	2000	100
dantooine	700	100	100	100	100	100	100	100	100	100	100	100	100
dathomir	1250	100	100	100	100	100	100	100	100	100	100	100	100
endor	1750	100	100	100	100	1750	100	100	100	100	100	100	100
lok	100	100	100	100	100	1250	100	100	1250	100	100	100	100
naboo	500	100	100	4000	1000	100	300	100	500	100	100	100	100
rori	100	100	100	100	100	300	100	100	100	100	100	100	100
talus	300	100	100	100	100	100	100	100	100	100	1000	100	100
tatooine	600	100	100	100	1000	500	100	100	100	100	100	100	100
yavin4	1750	100	100	100	100	100	100	100	100	100	100	100	100
mustafar	1000	100	100	100	100	100	100	1000	100	100	100	100	100
kashyyyk_main	1250	100	100	100	100	100	100	100	100	100	100	100	100
taanab	1250	100	100	100	100	100	100	100	100	100	100	100	100
